id,sentence,true_label
25,"The Finnish real estate investment company Interavanti Oyj said on Monday ( 22 September ) that it has agreed to sell its 65 % ownership in the Finnish ticket service company Lippupiste Oy to CTS Eventim AG ( 56,1 % ) and to the managing director of Lippupiste Oy .",neutral
26,"Only L+ñnnen Tehtaat showed a loss , but it has only recently started streamlining measures .",neutral
27,Kesko www.kesko.fi is a Finnish retail specialist whose stores offer quality to the daily lives of consumers through valued products and services at competitive prices .,neutral
28,"The program included operational improvements and reductions in personnel , mainly in the Netherlands .",neutral
29,A profit is still on target .,positive
30,"In 2006 , the company intends to invest significantly in expanding its distribution and maintenance network .",positive
31,"production facilities 6 July 2010 - Finnish investment group Neomarkka Oyj ( HEL : NEMBV ) said today that it will buy the former production facilities of Kuitu Finland Ltd , as part of negotiations on the option to invest in specialty cellulose fiber business .",neutral
32,"Janno Reiljan , a member of the Eesti Energia supervisory board , said the owners of Narva Power Grid had informed Eesti Energia about their wish to sell .",neutral
33,"In Finland , the corresponding service is Alma Media 's Etuovi.com , Finland 's most popular and best known nationwide online service for home and property sales .",neutral
34,"It 's `` finger-friendly '' , and to my opinion , really fast .",neutral
35,"com , and we are constantly planning new ways to serve our customers online on a more comprehensive basis , '' says Matti Leminen , President of Anttila Oy .",positive
36,"A state program has been worked out , legal provisions have been developed , and rules and normative documents have been specified for the functioning of a technological park .",neutral
37,The Group 's business is balanced by its broad portfolio of sports and presence in all major markets .,positive
38,"`` While concerns remain longer term , size and scale may enable Nokia to hold on to its newfound margin improvements in the near term , '' the analyst wrote .",positive
39,"HK Ruokatalo now accounts for about 50 % of poultry sales in Finland , and profitability is at a good level .",positive
40,"Z. Bavelloni 's long-standing MD , Dino Bavelloni , has retired at the end of 2005 .",neutral
41,"Even so , Tulikivi emissions are well below some of the strictest state standards including Washington and Colorado .",neutral
42,"As part of the reorganisation measures that will take place in spring 2006 , Tamglass Finton will start personnel negotiations that will affect its entire staff of 33 .",negative
43,"ASPO Plc STOCK EXCHANGE BULLETIN October 24 , 2006 at 2:00 p.m. Aspo Systems Division has completed the statutory negotiations , as required under the Act on Co-Operation Within Undertakings , conducted as part of the action plan launched in August .",neutral
44,"In August , Latvijas Finieris ordered all production lines for a new green veneer mill to be built in Ukmerge , Lithuania .",neutral
45,"As a result , the Russia 's import restrictions on Finnish dairy companies will be canceled on 6 August 2010 .",positive
46,"However , the suspect stole his burgundy Nissan Altima .",negative
47,"Operating profit for the six-month period decreased from EUR111 .9 m , while sales increased from EUR1 ,275 m , as compared to the corresponding period in 2006 .",neutral
48,Nokia has enough users to do just as well .,neutral
49,"With the measures , Suominen Corporation aims to ensure the competitiveness of the Flexible Packaging business in the long term .",positive
50,The first charging stations will be made available already in 2008 and a whole network is to be ready in 2010 .,neutral
51,Espoon kaupunki awarded contracts for personal care products .,positive
52,Mr Lee said he hoped that Neste 's move will ` pave the way for more collaboration projects between our two countries ' .,positive
53,`` Marimekko aims to expand its distribution network primarily by increasing the number of concept stores and shop-in-shops .,neutral
54,"Finnish Ahlstrom Corporation will double its investments in a new specialty glassfiber reinforcement plant in South Carolina , in the US .",positive
55,"There are companies , which are ready to invest their own funds in this deal such as Rostelecom RTS : RTKM .",positive
56,"On the basis of competitive bidding OOO Kitai Stroi , the Russian subsidiary of China State Construction Engineering Corporation , a construction company owned by China State , has been selected as the main constructor .",neutral
57,The expansion aims to attract new customers both in Finland and abroad .,positive
58,About Stonesoft Corporation Stonesoft Corporation ( OMX : SFT1V ) is an innovative provider of integrated network security solutions to secure the information flow of distributed organizations .,neutral
59,"Kemira Coatings is the leading supplier of paints in Northern and Eastern Europe , providing consumers and professionals with branded products in approx .",positive
60,"One of the opportunities would be to bring all Baltic meat processing to Rakvere , like processing was concentrated at the Vantaa meat-packing unit in Finland , the paper wrote .",neutral
61,"However , Simdax will remain available in the markets where it already has been approved as it has marketing authorisations or submitted applications in more than 40 countries , Orion added .",positive
62,"According to Scanfil 's President Harri Takanen , Scanfil 's investment activity proceeded according to the strategy on several fronts in 2010 .",neutral
63,The goal is to secure the company 's profitability and competitiveness .,neutral
64,"Glaston 's well-known brands are Bavelloni , in pre-processing machines and tools , Tamglass and Uniglass , in safety glass machines and Albat + Wirsam in software solutions .",neutral
65,"The new company will likely hold an IPO on the NYSE or another international stock exchange , according to Altimo which manages the Alfa Group 's telecommunications assets and TeliaSonera 's agreement , which has been published on the website of the U.S. Securities and Exchange Commission .",neutral
66,"One of the installed elevators will be a double-deck elevator , which enables more efficient use of the building 's core space .",positive
67,Earnings per share EPS in the first quarter amounted to a loss of EUR0 .20 .,neutral
68,"IT services firm TietoEnator was bucking the general trend , holding flat at 22.70 eur , after slipping back from earlier gains .",negative
69,"The new facility , to be known as Technopolis Pulkovo , will introduce to the Russian market an entirely new concept of creating , operating and growing a commercially-funded science and technology park to support the growth of knowledge-intensive companies .",neutral
70,We are very proud to be able to use this kind of innovative mobile service for voting in elections .,positive
71,Our purchase to pay solutions enable companies to gain visibility and control over business-critical financial processes .,neutral
72,"According to the company 's updated strategy for the years 2009-2012 , Basware targets a long-term net sales growth in the range of 20 % -40 % with an operating profit margin of 10 % -20 % of net sales .",positive
73,"( ADP News ) - Nov 3 , 2008 - Finnish cargo handling systems and services company Cargotec Oyj ( OMX : CGCBV ) said today that it acquired 80 % stakes in Italian service companies CVS Technoports Srl and CVS Service Srl from Italian handli",positive
74,"Finnish metal components supplier Componenta on December 26 , 2006 applied for approval with the Turkish Capital Markets Board to launch a mandatory offer for the remaining shares in iron and aluminium castings producer Doktas Dokumculuk .",neutral
75,"`` Our customers now have the chance to make bookings for all the services they want at one location , '' said Mikko Tuomainen , in-charge of Finnair 's Internet ( sales ) .",positive
76,The acquisition is part of Ramirent 's strategy to strengthen its position in selected locations .,positive
77,The European Central Bank ECB is anticipated to raise its benchmark interest rate in the second half of 2011 at the earliest .,neutral
78,Lemcon signed an investment cooperation agreement with the Kaluga regional administration last November .,positive
79,The company also said that the deployment of the Danish 4G network continues and it expects to cover 75 % of the Danish population in 2011 .,neutral
80,Ruukki signed the contract with Norwegian company Veidekke Entreprenor AS .,positive
81,"With Aldata , we can help retailers ensure that their merchandising and selections reflect customer demand and their evolving shopping behavior . ''",neutral
82,It helps our stakeholders get a better understanding of our operations and the challenges in stainless steel business .,neutral
83,South America and Asia are other promising markets .,neutral
84,"Sales at the Tiimari business went down by 8 % to EUR 11.8 million , while Gallerix stores saw 29 % growth to EUR 2 million .",negative
85,"In Finland , Sampo Bank , now part of the Danske Bank group , will lay off staff from the administrative and support functions .",negative
86,"In addition , nine fixed-term employment contracts will not be extended and two people will leave the company under pension arrangements .",neutral
87,"As a domestic business , Best-In is already close to Finnish dog owners .",positive
88,"Technopolis has Finnish operations in Oulu , Vantaa , Espoo , Lappeenranta , Jyvaskyla and Tampere and is also preparing to expand its operations to Russia .",neutral
89,The current lay-offs are additional to the temporary lay-offs agreed in December 2008 and in May 2009 .,negative
90,The prices of stainless steel also rose in Europe .,neutral
91,"Finnish W+ñrtsil+ñ that provides power solutions for the marine and energy markets has opened a Service Centre in Murmansk , in Russia .",neutral
92,"In addition , Kone signed a two-year maintenance contract for the escalators .",positive
93,Ulefos Group is the leading supplier of manhole covers in the Nordic countries .,neutral
94,The acquisition of AVC Systemhaus and the majority stake in Cableway will increase the number of Teleste personnel by 250 .,neutral
95,"The dollar bounced back after hitting another record low against the euro , which reached $ 1.41 for the first time .",neutral
96,"In the first half of 2008 , the Bank 's operating profit fell to EUR 11.8 mn from EUR 18.9 mn , while net interest income increased to EUR 20.9 mn from EUR 18.8 mn in the first half of 2007 .",negative
97,Elcoteq has a proven track record in electronics manufacturing services ( EMS ) and a global factory network coupled with modern manufacturing equipment and consistent systems and processes .,positive
98,"The building owner and developer , Sun Hung Kai Properties Group , is one of the largest property companies in Hong Kong , developing all types of premium residential and commercial projects for sale and investment .",neutral
99,"With the government exempting certain stainless steel products from anti-dumping duties , Finland-based Outokumpu today said it will look to enter into supply pacts with the Indian Railways soon .",neutral
100,The energy-efficient data center will be built by combining an effective energy solution with state-of-the-art technology .,positive
101,"Meanwhile , minority shareholders , expecting TeliaSonera to retain the bid , sell shares now .",neutral
102,Basware offers full support for all SAP versions starting from SAP 4.5 .,neutral
103,"Martela said plans to expand its recycled furniture business elsewhere in Finland , too .",positive
104,"To our members and partners , the use of IT will mostly be apparent in the increased efficiency of the results service , '' observes Perttu Puro from Tradeka .",positive
105,"With the launch of new 3G handsets , Nokia aims to become the winner in China 's 3G market as it did in the 2G market .",positive
106,"It rose by 15.7 % and by 24.8 % in Finland and abroad , respectively , to EUR 7 million and EUR 4.2 million , due to a 40 % growth in Russia .",positive
107,The winner does not have to be present to win .,neutral
108,Incap Corporation Stock Exchange Release 4 May 2010 at 8.30 a.m. INCAP CORPORATION 'S DIRECTED SHARE ISSUE WAS SUBSCRIBED IN FULL The Board of Incap Corporation has approved the subscriptions of directed share issue .,neutral
109,"The tower it chose to add , due to go into operation in the summer , will increase total capacity to 80 broadsheet or 160 tabloid pages , with the ability to run 32 - and 48-page products side by side .",positive
110,Global Banking News - 28 September 2010 Tieto Corporation and Pohjola Bank ( PINK : POJLF ) are to cooperate on SWIFT services .,positive
111,"Marimekko has today ( 20 November ) signed a license agreement with the Swedish chain , whereby Marimekko will license some of its popular patterns from the 1950s , 1960s and 1970s to H&M .",positive
112,"In addition , we will launch a versatile online service to complete the traditional printed newspaper , Mr. Valkama says .",neutral
113,"Finnish Suominen Corporation that makes wet wipes , nonwovens , and flexible packaging is starting employer-employee negotiations at its Tampere plant in Finland to lay off about 25 employees .",negative
114,Lemcon has also signed a pre-contract for the purchase of the park 's entire 130-hectare site .,positive
115,The last job losses related to these reductions will take place during 2010 .,neutral
116,"Okmetic 's products are based on high-tech expertise that generates added value for customers , innovative product development and an extremely efficient production process .",positive
117,RIM has revamped the BlackBerry OS UI with the 6.0 version of the mobile operating system .,neutral
118,An Android app will be coming soon .,neutral
119,UPM-Kymmene has generated thirty-one consecutive quarters of positive EBITDA .,positive
120,The impact of this acquisition to Teleste 's net sales for 2010 is estimated to be approximately EUR 2 million .,neutral
121,"FinancialWire tm is a fully independent , proprietary news wire service .",neutral
122,"KESKO CORPORATION STOCK EXCHANGE RELEASE 28.02.2008 AT 09.30 1 ( 1 ) Kesko Corporation and Aspo plc today signed an agreement by which Aspo acquires the share capital of Kauko-Telko Ltd , a subsidiary wholly owned by Kesko .",positive
123,"In Finland , insurance company Pohjola and the Finnish motorcyclist association have signed an agreement with the aim of improving motorcyclists ' traffic safety .",positive
124,18 January 2010 - Finnish IT consultancy Trainers ' House Oyj HEL : TRH1V said last Friday it resolved to issue a EUR5m hybrid bond to domestic investors in a bid to strengthen its capital structure .,positive
125,BG Crane has a strong customer base in the on-road load handling and related installation and service businesses .,neutral
126,"With this subscription , Fortum 's ownership in TGK-10 has increased to slightly over 76 % of shares and voting rights .",neutral
127,EB announced in its stock exchange release on November 18th 2008 that J.T. Bergqvist has resigned from the chairmanship and membership of the Board of EB .,negative
128,"This is Done Logistics ' largest order in Norway , the diversified group said .",positive
129,"An estimated 30 pct of mobile calls are made from the home , and France Telecom hopes that 15 pct of its Orange clients will sign up for the service by the end of 2008 .",neutral
130,No blind-spots coming from 1 vantage point allows investigators to see the whole story in high resolution with no unbroken video .,neutral
131,These companies will be able to keep their market positions .,positive
132,"India is high on our priority since business links between our two countries is also expanding , '' Tornstrom said .",neutral
133,"The antibody , administered at repeated doses of up to 8 mg-kg , was generally well tolerated , and the pharmacokinetic characteristics of BTT-1023 in psoriasis patients were consistent with those observed in a previously completed study in rheumatoid arthritis RA patients .",neutral
134,"It provides customers with industry-leading elevators , escalators and innovative solutions for maintenance and modernization .",positive
135,Currently more than 100 of Global Fortune 500 companies are using SSH security solutions .,neutral
136,The executive group will participate in the adjustments with a fixed-term 5 % salary cut .,positive
137,"JVC will stop producing DVD players in Brazil : JVC do Brazil , a subsidiary of Japan 's JVC group announced it will stop the production of DVD players in Brazil .",neutral
138,"The highest growth would be in China , while weakening demand would continue in North America , UPM said .",neutral
139,The product 's front-edge folding maximizes weather resilience and enables a seamless roof finish .,neutral
140,It delivers a different user experience and enables us to widen the market we can address . '',positive
141,Danish company FLSmidth has acknowledged that it has violated a patent held by Finnish Metso .,negative
142,"`` We cut our frequency to New York last year , which explains the fall , '' he said .",negative
143,"Operating profit for the six-month period decreased from EUR21m , while net sales increased from EUR436 .9 m , as compared to the corresponding period in 2007 .",negative
144,The plans will result in the introduction of new and highly specialized manufacturing methods and also entail changes to personnel at the facility .,neutral
145,`` Low energy consumption and flexible loading are just a few of the advantages of the CHF Pro . '',neutral
146,Finnish power company Fortum reports 89 % of its electricity was generated without carbon dioxide emissions in 2007 .,neutral
147,"The new company will buy from Baltic Pearl CJSC a lease right to 8.1 hectares for the construction of a mall with a gross area of 140,000 sq m 1.5 million sq ft .",neutral
148,It is in line with its plans to focus on selected growth segments and streamline corporate structure .,positive
149,"The bank also expects additional costs , related to the Dash 8 - Q400 jets , which the group shelved in October 2007 .",neutral
150,SWOT analysis is just one method of categorization and has its own weaknesses .,neutral
151,The administrators have indicated a need for 900 job cuts at the Irish insurer over the next 15 months .,negative
152,"The staff reduction will start immediately , Glaston added .",negative
153,"He announced a `` solutions unit '' to speed co-operation in August , and shifted Simonson from finance chief to low-end phones in October .",neutral
154,1 April 2011 - Finnish machinery rental company Ramirent Oyj HEL : RMR1V said today it has acquired the assets of sector player Stavebni Doprava a Mechanizace SDM in the Czech Republic for an undisclosed sum .,neutral
155,"INTERNET BUSINESS NEWS - -® 1995-2006 M2 COMMUNICATIONS LTD As part of a drive to protect users of its Internet banking service , Barclays Bank has announced that it is to recommend F-Secure Internet Security to its customers .",neutral
156,Fortum is now considering taking part in nuclear energy projects outside of Finland .,neutral
157,`` I warmly welcome Michael Frei to Outotec .,positive
158,Componenta 's objective with this agreement is to increase business on its existing production lines .,positive
159,"The company will try to adapt the operations through temporary lay-offs of different duration , working hour arrangements , training and development efforts .",neutral
160,"Panostaja treats its negotiating partners , such as entrepreneurs selling their life s work and newcomer entrepreneurs seeking a career , fairly , justly and according to the law .",neutral
161,"As a result of the negotiations , the amount of employment contracts to be terminated is 13 .",negative
162,"Asimilar agreement was signed between China Mobile Ltd. ( SEHK : 0941 and NYSE : CHL ) , the largest mobile carrier , and theGPS and social networking service provider , promoting GyPSii service before Beijing 2008 Olympic Games , according to thelatest news .",positive
163,Finnair was able to operate most of its leisure flights despite the strike .,positive
164,"Finnish soapstone processing and fireplaces maker Tulikivi Oyj said on February 26 , 2007 it would cut less than 20 jobs from its fireplace sales organization , production facilities and its subsidiary Kermansavi Oy .",negative
165,"pct lower at 4,442.10 .",neutral
166,`` Small well targeted acquisitions have played an important role in executing Satama 's strategy in the past couple of years .,neutral
167,"Microsoft also churned up its courtship , agreeing to use the Navteq mapping service , which is offered by a company Nokia bought for $ 8.1 billion a few years ago .",positive
168,It offers advanced machinery maintenance and process development services to the pulp and paper industry in Northern China .,neutral
169,"`` The considerably weaker U.S. dollar and British pound had an impact on sales and average prices in euros , '' UPM said .",negative
170,"As of August 2008 , Glaston 's North Asian sales and service region is upgraded to a new market area , North Asia .",neutral
171,Pohjola will act as the manager of the issue and the bond will be listed on NASDAQ OMX Helsinki Ltd. .,neutral
172,"The familiar blue , white , and red HK seal has received a more authentic look .",neutral
173,"The study is expected to provide proof of pharmacodynamic activity in humans , corroborate the safety profile and establish dose ranges for further therapeutic studies .",neutral
174,The aim of the bridge solutions chosen is to minimize construction times while ensuring that traffic beneath the bridge on the Saimaa canal continues undisturbed .,neutral
175,"The total area of the Gorelovo plant is about 22,000 sq m. Atria invested about EURO 70mn in the plant , which should double Atria Russia 's production capacity in the St Petersburg area .",positive
176,"Outokumpu 's steel mill in Tornio , in Finland , is the suspected source .",negative
177,"The contract covers HDO platform , AC800 and CXE880 optical Fttb nodes designed to increase the forward and return path capacity of the transmission networks .",positive
178,Teleste expects to start the deliveries at the end of 2009 .,neutral
179,"Furthermore , Novator Finland Oy has entered into a securities lending agreement , whereby Novator Finland Oy will hold directly the same amount of shares that are underlying of the OMX market forwards from May 23 through May 26 , 2008 .",positive
180,The reduction notice applied to 17 people .,negative
181,"Compared with the FTSE 100 index , which rose 51.5 points ( or 0.9 % ) on the day , this was a relative price change of -0.6 % .",neutral
182,"As a result of the cancellation , the maximum increase of Citycon 's share capital on the basis of the convertible bonds decreased from EUR 23,383,927.80 to EUR 22,901,784.75 .",neutral
183,"Vaisala Oyj Press Release September 30 , 2010 Vaisala has signed a contract to sell its oxygen measurement technology and business to SICK Maihak GmbH .",positive
184,"The divestment is in line with the company 's plans to focus on selected growth segments and streamline corporate structure , the company explained .",positive
185,"HELSINKI ( Thomson Financial ) - M-real said it will exercise an option to buy a 50MW natural gas power plant and land in Kyroskoski , Finland , for around 13 mln eur from Kyro Oyj .",positive
186,In 2005 Cargotec 's net sales exceeded EUR 2.3 billion .,neutral
187,"In the end , Sanoma News wants to secure its foundation with the savings .",neutral
188,Nokian Capacitors ' equipment will be used to raise the capacity and reliability of the Indian grid .,positive
189,Being successful requires providing a level of quality that satisfies our customers and partners .,neutral
190,"As a result , a total of 82 employees would be given notice .",neutral
191,President and CEO Mika Vehvil+ñinen says the positive signs are first and foremost emerging outside Finland .,positive
192,Metso estimates the need for personnel reductions to amount to 25 people .,negative
193,"The companies will divest to UPM Fray Bentos pulp mill and Forestal Oriental , a company specialising in eucalyptus cultivation .",neutral
194,GSK announced in November 2008 that it would close its operations in Dartford .,negative
195,"Baltic Pearl CJSC , a subsidiary of Shanghai Foreign Joint Investment Company , is developing a project in St Petersburg , comprising about a million square meters of residential space , two hospitals and several schools and nurseries .",neutral
196,The members of the management team will contribute to the adjustment measures with temporary salary cut of 5 % .,positive
197,"Following the increase , Huhtamaki Oyj 's registered share capital is EUR 358,706,290.00 and the number of shares outstanding is 105,501,850 .",neutral
198,"After the transaction , Herttaassa 's holding in Alma Media has fallen below the flagging limit of 5 % .",neutral
199,"Employing 112 in Finland and 280 abroad , the unit recorded first-quarter 2007 sales of 8.6 mln eur , with an operating loss of 1.6 mln eur .",negative
200,"The company intends to launch housing development at the acquired land plots and to construct 50,000-60 ,000 square metres of housing per annum by 2011 .",neutral
